variant,animal id,age,tissue id,xna,route,tissue,count
AAV-PHP.eB,RM-004,infant,1,DNA,lp,brain,35957
AAV-PHP.eB,RM-004,infant,2,DNA,lp,brain,26249
AAV-PHP.eB,RM-004,infant,3,DNA,lp,brain,22
AAV-PHP.eB,RM-004,infant,4,DNA,lp,brain,8
AAV-PHP.eB,RM-004,infant,5,DNA,lp,brain,15
AAV-PHP.eB,RM-004,infant,6,DNA,lp,brain,16
AAV-PHP.eB,RM-004,infant,7,DNA,lp,brain,0
AAV-PHP.eB,RM-004,infant,8,DNA,lp,brain,22
AAV-PHP.eB,RM-004,infant,9,DNA,lp,brain,12341
AAV-PHP.eB,RM-004,infant,10,DNA,lp,brain,17434
AAV-PHP.eB,RM-004,infant,1,DNA,lp,liver,51
AAV-PHP.eB,RM-003,infant,1,DNA,lp,brain,70
AAV-PHP.eB,RM-003,infant,2,DNA,lp,brain,301
AAV-PHP.eB,RM-003,infant,3,DNA,lp,brain,447
AAV-PHP.eB,RM-003,infant,4,DNA,lp,brain,258
AAV-PHP.eB,RM-003,infant,5,DNA,lp,brain,18584
AAV-PHP.eB,RM-003,infant,6,DNA,lp,brain,25267
AAV-PHP.eB,RM-003,infant,7,DNA,lp,brain,72004
AAV-PHP.eB,RM-003,infant,8,DNA,lp,brain,0
AAV-PHP.eB,RM-003,infant,9,DNA,lp,brain,0
AAV-PHP.eB,RM-003,infant,10,DNA,lp,brain,19
AAV-PHP.eB,RM-003,infant,1,DNA,lp,liver,56519
AAV-PHP.eB,RM-004,infant,1,RNA,lp,brain,1866730
AAV-PHP.eB,RM-004,infant,2,RNA,lp,brain,87017
AAV-PHP.eB,RM-004,infant,3,RNA,lp,brain,1008
AAV-PHP.eB,RM-004,infant,4,RNA,lp,brain,32957
AAV-PHP.eB,RM-004,infant,5,RNA,lp,brain,22505
AAV-PHP.eB,RM-004,infant,6,RNA,lp,brain,16438
AAV-PHP.eB,RM-004,infant,7,RNA,lp,brain,2235
AAV-PHP.eB,RM-004,infant,8,RNA,lp,brain,1335
AAV-PHP.eB,RM-004,infant,9,RNA,lp,brain,12766
AAV-PHP.eB,RM-004,infant,10,RNA,lp,brain,43157
AAV-PHP.eB,RM-004,infant,1,RNA,lp,liver,4355
AAV-PHP.eB,RM-003,infant,1,RNA,lp,brain,25053
AAV-PHP.eB,RM-003,infant,2,RNA,lp,brain,8396
AAV-PHP.eB,RM-003,infant,3,RNA,lp,brain,27061
AAV-PHP.eB,RM-003,infant,4,RNA,lp,brain,36362
AAV-PHP.eB,RM-003,infant,5,RNA,lp,brain,30790
AAV-PHP.eB,RM-003,infant,6,RNA,lp,brain,32575
AAV-PHP.eB,RM-003,infant,7,RNA,lp,brain,3544
AAV-PHP.eB,RM-003,infant,8,RNA,lp,brain,22015
AAV-PHP.eB,RM-003,infant,9,RNA,lp,brain,56221
AAV-PHP.eB,RM-003,infant,1,RNA,lp,liver,28263
AAV9.452sub-LUNG1,RM-004,infant,1,DNA,lp,brain,150856
AAV9.452sub-LUNG1,RM-004,infant,2,DNA,lp,brain,136821
AAV9.452sub-LUNG1,RM-004,infant,3,DNA,lp,brain,251
AAV9.452sub-LUNG1,RM-004,infant,4,DNA,lp,brain,66
