variant,animal id,tissue,region,moi,vg/ug dna
AAV9,C002,Brain,Caudate,0.674905279,112439.2194
AAV9,C016,Brain,Caudate,0.299637472,49919.60288
AAV9,C016,Brain,Cerebellum,0.085912982,14313.10278
AAV9,C002,Brain,Cerebellum,0.065584604,10926.39497
AAV9,C002,Brain,Frontal lobe,0.9157632,152566.1492
AAV9,C016,Brain,Frontal lobe,0.196084287,32667.64227
AAV9,C002,Brain,Hippocampus,0.466082794,77649.3935
AAV9,C016,Brain,Hippocampus,0.186540445,31077.63812
AAV9,C002,Brain,Hypothalamus,0.345868966,57621.76976
AAV9,C016,Brain,Hypothalamus,0.100974334,16822.32413
AAV9,C016,Brain,Occipital lobe,0.37516931,62503.20703
AAV9,C002,Brain,Occipital lobe,0.081724703,13615.33547
AAV9,C002,Brain,Parietal lobe,0.654716894,109075.8345
AAV9,C016,Brain,Parietal lobe,0.164982832,27486.13984
AAV9,C002,Brain,Putamen,0.350090773,58325.12276
AAV9,C016,Brain,Putamen,0.299188501,49844.80421
AAV9,C002,Brain,Temporal lobe,0.329100665,54828.17081
AAV9,C016,Brain,Temporal lobe,0.250212373,41685.38128
AAV9,C016,Brain,Thalamus,0.406452215,67714.93896
AAV9,C002,Brain,Thalamus,0.264733858,44104.66066
AAV9,C016,Brain,Medulla,0.336513876,56063.21172
AAV9,C002,Brain,Medulla,0.29982935,49951.56979
CAP-Mac,C010,Brain,Caudate,1.971275286,328414.4626
CAP-Mac,C017,Brain,Caudate,1.622859637,270368.4156
CAP-Mac,C010,Brain,Cerebellum,0.151718152,25276.24414
CAP-Mac,C017,Brain,Cerebellum,0.098191541,16358.71074
CAP-Mac,C017,Brain,Frontal lobe,3.039118185,506317.0896
CAP-Mac,C010,Brain,Frontal lobe,2.089864261,348171.386
CAP-Mac,C017,Brain,Hippocampus,1.026700339,171048.2765
CAP-Mac,C010,Brain,Hippocampus,0.606422774,101030.0342
CAP-Mac,C017,Brain,Hypothalamus,1.455126215,242424.0273
CAP-Mac,C010,Brain,Hypothalamus,0.946633305,157709.1086
CAP-Mac,C017,Brain,Occipital lobe,0.81733366,136167.7877
CAP-Mac,C010,Brain,Occipital lobe,0.409838822,68279.1477
CAP-Mac,C017,Brain,Parietal lobe,1.208881196,201399.6072
CAP-Mac,C010,Brain,Parietal lobe,0.763784701,127246.5312
CAP-Mac,C010,Brain,Putamen,1.792937741,298703.4277
CAP-Mac,C017,Brain,Putamen,1.722249695,286926.7992
CAP-Mac,C017,Brain,Temporal lobe,1.221023842,203422.572
CAP-Mac,C010,Brain,Temporal lobe,0.779058878,129791.2091
CAP-Mac,C017,Brain,Thalamus,0.829127128,138132.5796
CAP-Mac,C010,Brain,Thalamus,0.747183649,124480.7959
CAP-Mac,C010,Brain,Medulla,1.953191696,325401.7366
CAP-Mac,C017,Brain,Medulla,0.384541298,64064.58026
AAV9,C002,Spinal cord,cer.sc,1.742954912,290376.2884
AAV9,C016,Spinal cord,cer.sc,0.575004793,95795.79844
AAV9,C002,Spinal cord,lumbar sc,0.363026935,60480.28744
AAV9,C016,Spinal cord,lumbar sc,0.313376538,52208.53123
AAV9,C016,Spinal cord,thor.sc,0.784070915,130626.2144
AAV9,C002,Spinal cord,thor.sc,0.300218159,50016.34524
CAP-Mac,C017,Spinal cord,cer.sc,1.224161716,203945.3419
CAP-Mac,C010,Spinal cord,cer.sc,0.421436584,70211.33483
CAP-Mac,C010,Spinal cord,lumbar sc,2.606072129,434171.6167
CAP-Mac,C017,Spinal cord,lumbar sc,1.843004894,307044.6154
CAP-Mac,C010,Spinal cord,thor.sc,0.594130813,98982.19342
CAP-Mac,C017,Spinal cord,thor.sc,0.541566404,90224.96295
AAV9,C002,DRG,cer.drg,2.82654994,470903.22
AAV9,C016,DRG,cer.drg,0.852862053,142086.8181
AAV9,C002,DRG,lumbar.drg,0.740617325,123386.8464
AAV9,C016,DRG,lumbar.drg,0.556607775,92730.85526
AAV9,C002,DRG,thor.drg,0.721963671,120279.1475
AAV9,C016,DRG,thor.drg,0.482713441,80420.05931
CAP-Mac,C017,DRG,cer.drg,1.304520463,217333.1091
CAP-Mac,C010,DRG,cer.drg,1.301001105,216746.7841
CAP-Mac,C017,DRG,lumbar.drg,1.131332665,188480.022
CAP-Mac,C010,DRG,lumbar.drg,1.075163223,179122.193
CAP-Mac,C017,DRG,thor.drg,1.686587621,280985.4976
CAP-Mac,C010,DRG,thor.drg,1.092099231,181943.7319
AAV9,C002,Kidney,kid-ctx,1.020987414,170096.5032
AAV9,C016,Kidney,kid-ctx,0.867559764,144535.4567
AAV9,C016,Kidney,kid-med,0.71570425,119236.3281
AAV9,C002,Kidney,kid-med,0.540388822,90028.7777
