variant,animal id,tissue,copies/microgram
AAV9,conan,brain,129982526.26970227
AAV9,conan,brain,102710360.32863851
AAV9,conan,brain,103318204.54545455
AAV9,conan,brain,101978593.07359307
AAV9,conan,brain,124415143.61702128
AAV9,conan,brain,198780193.7172775
AAV9,conan,brain,196179535.2112676
AAV9,conan,brain,102849096.09120521
AAV9,conan,brain,220954124.62006077
AAV9,conan,brain,12381476.842105264
AAV9,conan,brain,25266010.35714286
CAP-Mac,sandy,brain,62775307.916666664
CAP-Mac,sandy,brain,50592388.97637795
CAP-Mac,sandy,brain,66397080.61797752
CAP-Mac,sandy,brain,27495340.740740743
CAP-Mac,sandy,brain,78596275.6849315
CAP-Mac,sandy,brain,62151074.38650308
CAP-Mac,sandy,brain,85963049.15254237
CAP-Mac,sandy,brain,71368561.40350878
CAP-Mac,sandy,brain,74891180.9815951
CAP-Mac,sandy,brain,4093092.517006803
CAP-Mac,sandy,brain,18643728.925619833
