animal id,days,ALT activity (U/L),Weeks post-injection
RM-009,0,4.873,0.0
RM-009,0,5.091,0.0
RM-009,7,8.421,1.0
RM-009,7,8.408,1.0
RM-009,14,12.202,2.0
RM-009,14,11.329,2.0
RM-009,21,6.224,3.0
RM-009,21,6.456,3.0
RM-009,29,3.712,4.142857142857143
RM-009,29,3.822,4.142857142857143
RM-010,0,4.941,0.0
RM-010,0,4.604,0.0
RM-010,7,11.261,1.0
RM-010,7,10.544,1.0
RM-010,14,22.805,2.0
RM-010,14,21.625,2.0
RM-010,21,8.943,3.0
RM-010,21,9.786,3.0
RM-010,28,5.615,4.0
RM-010,28,6.078,4.0
RM-010,35,6.078,5.0
RM-010,35,5.53,5.0
RM-010,42,5.657,6.0
RM-010,42,5.236,6.0
RM-010,49,5.91,7.0
RM-010,49,5.952,7.0
RM-010,56,5.868,8.0
RM-010,56,6.415,8.0
RM-010,63,6.162,9.0
RM-010,63,6.584,9.0
RM-010,70,6.794,10.0
RM-010,70,7.132,10.0
RM-010,77,9.912,11.0
RM-010,77,10.629,11.0
RM-001,0,1.189,0.0
RM-001,0,1.22,0.0
RM-001,11,8.731,1.5714285714285714
RM-001,11,9.404,1.5714285714285714
RM-001,18,9.642,2.5714285714285716
RM-001,18,9.104,2.5714285714285716
RM-001,28,11.783,4.0
RM-001,28,12.177,4.0
RM-002,0,0.823,0.0
RM-002,0,0.806,0.0
RM-002,11,6.692,1.5714285714285714
RM-002,11,5.944,1.5714285714285714
RM-002,18,4.649,2.5714285714285716
RM-002,18,4.548,2.5714285714285716
RM-002,28,2.37,4.0
RM-002,28,2.337,4.0
