variant,animal id,age,tissue id,xna,route,tissue,count
AAV9,RM-001,infant,RM-001_4,DNA,iv,brain,25653
AAV9,RM-001,infant,RM-001_8,DNA,iv,brain,33812
AAV9,RM-001,infant,RM-001_11,DNA,iv,brain,52424
AAV9,RM-001,infant,RM-001_4,RNA,iv,brain,4066
AAV9,RM-001,infant,RM-001_8,RNA,iv,brain,18210
AAV9,RM-001,infant,RM-001_11,RNA,iv,brain,6226
AAV9,RM-001,infant,RM-001_1,DNA,iv,liver,58651
AAV9,RM-001,infant,RM-001_1,RNA,iv,liver,26241
AAV9,RM-002,infant,RM-002_4,DNA,iv,brain,58736
AAV9,RM-002,infant,RM-002_6,DNA,iv,brain,20888
AAV9,RM-002,infant,RM-002_10,DNA,iv,brain,63428
AAV9,RM-002,infant,RM-002_4,RNA,iv,brain,14159
AAV9,RM-002,infant,RM-002_6,RNA,iv,brain,3517
AAV9,RM-002,infant,RM-002_10,RNA,iv,brain,5082
AAV9,RM-002,infant,RM-002_1,DNA,iv,liver,35287
AAV9,RM-002,infant,RM-002_1,RNA,iv,liver,30179
AAV9,virus,infant,virus,DNA,iv,virus,1151251
AAV-PHP.eB,RM-001,infant,RM-001_4,DNA,iv,brain,9461
AAV-PHP.eB,RM-001,infant,RM-001_8,DNA,iv,brain,17255
AAV-PHP.eB,RM-001,infant,RM-001_11,DNA,iv,brain,28228
AAV-PHP.eB,RM-001,infant,RM-001_4,RNA,iv,brain,6680
AAV-PHP.eB,RM-001,infant,RM-001_8,RNA,iv,brain,24383
AAV-PHP.eB,RM-001,infant,RM-001_11,RNA,iv,brain,11039
AAV-PHP.eB,RM-001,infant,RM-001_1,DNA,iv,liver,19398
AAV-PHP.eB,RM-001,infant,RM-001_1,RNA,iv,liver,3900
AAV-PHP.eB,RM-002,infant,RM-002_4,DNA,iv,brain,24278
AAV-PHP.eB,RM-002,infant,RM-002_6,DNA,iv,brain,9451
AAV-PHP.eB,RM-002,infant,RM-002_10,DNA,iv,brain,36200
AAV-PHP.eB,RM-002,infant,RM-002_4,RNA,iv,brain,22107
AAV-PHP.eB,RM-002,infant,RM-002_6,RNA,iv,brain,5121
AAV-PHP.eB,RM-002,infant,RM-002_10,RNA,iv,brain,7898
AAV-PHP.eB,RM-002,infant,RM-002_1,DNA,iv,liver,14904
AAV-PHP.eB,RM-002,infant,RM-002_1,RNA,iv,liver,6435
AAV-PHP.eB,virus,infant,virus,DNA,iv,virus,738231
AAV.CAP-B2,RM-001,infant,RM-001_4,DNA,iv,brain,9501
AAV.CAP-B2,RM-001,infant,RM-001_8,DNA,iv,brain,14287
AAV.CAP-B2,RM-001,infant,RM-001_11,DNA,iv,brain,24283
AAV.CAP-B2,RM-001,infant,RM-001_4,RNA,iv,brain,4882
AAV.CAP-B2,RM-001,infant,RM-001_8,RNA,iv,brain,18001
AAV.CAP-B2,RM-001,infant,RM-001_11,RNA,iv,brain,7059
AAV.CAP-B2,RM-001,infant,RM-001_1,DNA,iv,liver,76187
AAV.CAP-B2,RM-001,infant,RM-001_1,RNA,iv,liver,8950
AAV.CAP-B2,RM-002,infant,RM-002_4,DNA,iv,brain,27933
AAV.CAP-B2,RM-002,infant,RM-002_6,DNA,iv,brain,10542
AAV.CAP-B2,RM-002,infant,RM-002_10,DNA,iv,brain,29321
AAV.CAP-B2,RM-002,infant,RM-002_4,RNA,iv,brain,12612
AAV.CAP-B2,RM-002,infant,RM-002_6,RNA,iv,brain,3791
AAV.CAP-B2,RM-002,infant,RM-002_10,RNA,iv,brain,6339
AAV.CAP-B2,RM-002,infant,RM-002_1,DNA,iv,liver,44581
AAV.CAP-B2,RM-002,infant,RM-002_1,RNA,iv,liver,14350
AAV.CAP-B2,virus,infant,virus,DNA,iv,virus,1023493
AAV.CAP-B10,RM-001,infant,RM-001_4,DNA,iv,brain,8571
AAV.CAP-B10,RM-001,infant,RM-001_8,DNA,iv,brain,19644
AAV.CAP-B10,RM-001,infant,RM-001_11,DNA,iv,brain,43524
AAV.CAP-B10,RM-001,infant,RM-001_4,RNA,iv,brain,19305
AAV.CAP-B10,RM-001,infant,RM-001_8,RNA,iv,brain,71375
AAV.CAP-B10,RM-001,infant,RM-001_11,RNA,iv,brain,23311
AAV.CAP-B10,RM-001,infant,RM-001_1,DNA,iv,liver,11994
AAV.CAP-B10,RM-001,infant,RM-001_1,RNA,iv,liver,2905
AAV.CAP-B10,RM-002,infant,RM-002_4,DNA,iv,brain,15079
AAV.CAP-B10,RM-002,infant,RM-002_6,DNA,iv,brain,5416
AAV.CAP-B10,RM-002,infant,RM-002_10,DNA,iv,brain,17682
AAV.CAP-B10,RM-002,infant,RM-002_4,RNA,iv,brain,13862
AAV.CAP-B10,RM-002,infant,RM-002_6,RNA,iv,brain,2978
AAV.CAP-B10,RM-002,infant,RM-002_10,RNA,iv,brain,4680
AAV.CAP-B10,RM-002,infant,RM-002_1,DNA,iv,liver,5262
AAV.CAP-B10,RM-002,infant,RM-002_1,RNA,iv,liver,2876
AAV.CAP-B10,virus,infant,virus,DNA,iv,virus,1245128
AAV.CAP-B22,RM-001,infant,RM-001_4,DNA,iv,brain,11560
AAV.CAP-B22,RM-001,infant,RM-001_8,DNA,iv,brain,18977
AAV.CAP-B22,RM-001,infant,RM-001_11,DNA,iv,brain,36529
AAV.CAP-B22,RM-001,infant,RM-001_4,RNA,iv,brain,10178
AAV.CAP-B22,RM-001,infant,RM-001_8,RNA,iv,brain,41640
AAV.CAP-B22,RM-001,infant,RM-001_11,RNA,iv,brain,14349
AAV.CAP-B22,RM-001,infant,RM-001_1,DNA,iv,liver,23836
AAV.CAP-B22,RM-001,infant,RM-001_1,RNA,iv,liver,4016
AAV.CAP-B22,RM-002,infant,RM-002_4,DNA,iv,brain,24872
AAV.CAP-B22,RM-002,infant,RM-002_6,DNA,iv,brain,8945
AAV.CAP-B22,RM-002,infant,RM-002_10,DNA,iv,brain,32414
AAV.CAP-B22,RM-002,infant,RM-002_4,RNA,iv,brain,19369
AAV.CAP-B22,RM-002,infant,RM-002_6,RNA,iv,brain,4622
AAV.CAP-B22,RM-002,infant,RM-002_10,RNA,iv,brain,7032
AAV.CAP-B22,RM-002,infant,RM-002_1,DNA,iv,liver,12571
AAV.CAP-B22,RM-002,infant,RM-002_1,RNA,iv,liver,4903
AAV.CAP-B22,virus,infant,virus,DNA,iv,virus,711675
AAV9.452sub-LUNG1,RM-001,infant,RM-001_4,DNA,iv,brain,17798
AAV9.452sub-LUNG1,RM-001,infant,RM-001_8,DNA,iv,brain,28148
AAV9.452sub-LUNG1,RM-001,infant,RM-001_11,DNA,iv,brain,42122
AAV9.452sub-LUNG1,RM-001,infant,RM-001_4,RNA,iv,brain,6280
AAV9.452sub-LUNG1,RM-001,infant,RM-001_8,RNA,iv,brain,26586
AAV9.452sub-LUNG1,RM-001,infant,RM-001_11,RNA,iv,brain,11875
AAV9.452sub-LUNG1,RM-001,infant,RM-001_1,DNA,iv,liver,141597
AAV9.452sub-LUNG1,RM-001,infant,RM-001_1,RNA,iv,liver,35179
AAV9.452sub-LUNG1,RM-002,infant,RM-002_4,DNA,iv,brain,45972
AAV9.452sub-LUNG1,RM-002,infant,RM-002_6,DNA,iv,brain,19230
AAV9.452sub-LUNG1,RM-002,infant,RM-002_10,DNA,iv,brain,43443
AAV9.452sub-LUNG1,RM-002,infant,RM-002_4,RNA,iv,brain,13323
AAV9.452sub-LUNG1,RM-002,infant,RM-002_6,RNA,iv,brain,4570
AAV9.452sub-LUNG1,RM-002,infant,RM-002_10,RNA,iv,brain,7031
AAV9.452sub-LUNG1,RM-002,infant,RM-002_1,DNA,iv,liver,86696
AAV9.452sub-LUNG1,RM-002,infant,RM-002_1,RNA,iv,liver,55464
AAV9.452sub-LUNG1,virus,infant,virus,DNA,iv,virus,1177086
AAV.CAP-Mac,RM-001,infant,RM-001_4,DNA,iv,brain,113859
AAV.CAP-Mac,RM-001,infant,RM-001_8,DNA,iv,brain,222410
AAV.CAP-Mac,RM-001,infant,RM-001_11,DNA,iv,brain,298579
AAV.CAP-Mac,RM-001,infant,RM-001_4,RNA,iv,brain,20725
AAV.CAP-Mac,RM-001,infant,RM-001_8,RNA,iv,brain,79041
AAV.CAP-Mac,RM-001,infant,RM-001_11,RNA,iv,brain,7139
AAV.CAP-Mac,RM-001,infant,RM-001_1,DNA,iv,liver,23305
AAV.CAP-Mac,RM-001,infant,RM-001_1,RNA,iv,liver,3731
AAV.CAP-Mac,RM-002,infant,RM-002_4,DNA,iv,brain,662283
AAV.CAP-Mac,RM-002,infant,RM-002_6,DNA,iv,brain,237999
AAV.CAP-Mac,RM-002,infant,RM-002_10,DNA,iv,brain,566477
AAV.CAP-Mac,RM-002,infant,RM-002_4,RNA,iv,brain,77982
AAV.CAP-Mac,RM-002,infant,RM-002_6,RNA,iv,brain,26001
AAV.CAP-Mac,RM-002,infant,RM-002_10,RNA,iv,brain,29342
AAV.CAP-Mac,RM-002,infant,RM-002_1,DNA,iv,liver,20430
AAV.CAP-Mac,RM-002,infant,RM-002_1,RNA,iv,liver,7320
AAV.CAP-Mac,virus,infant,virus,DNA,iv,virus,921349
AAV.CAP-C2,RM-001,infant,RM-001_4,DNA,iv,brain,50512
AAV.CAP-C2,RM-001,infant,RM-001_8,DNA,iv,brain,90090
AAV.CAP-C2,RM-001,infant,RM-001_11,DNA,iv,brain,138133
AAV.CAP-C2,RM-001,infant,RM-001_4,RNA,iv,brain,13345
AAV.CAP-C2,RM-001,infant,RM-001_8,RNA,iv,brain,57222
AAV.CAP-C2,RM-001,infant,RM-001_11,RNA,iv,brain,11452
AAV.CAP-C2,RM-001,infant,RM-001_1,DNA,iv,liver,13285
AAV.CAP-C2,RM-001,infant,RM-001_1,RNA,iv,liver,6422
AAV.CAP-C2,RM-002,infant,RM-002_4,DNA,iv,brain,204974
AAV.CAP-C2,RM-002,infant,RM-002_6,DNA,iv,brain,76298
AAV.CAP-C2,RM-002,infant,RM-002_10,DNA,iv,brain,189378
AAV.CAP-C2,RM-002,infant,RM-002_4,RNA,iv,brain,43485
AAV.CAP-C2,RM-002,infant,RM-002_6,RNA,iv,brain,14143
AAV.CAP-C2,RM-002,infant,RM-002_10,RNA,iv,brain,18258
AAV.CAP-C2,RM-002,infant,RM-002_1,DNA,iv,liver,7497
AAV.CAP-C2,RM-002,infant,RM-002_1,RNA,iv,liver,5213
AAV.CAP-C2,virus,infant,virus,DNA,iv,virus,897904
