file,variant,animal id,region,marker,reporter pos,double pos,marker pos
C010.7.2a_Cd,CAP-Mac,C010,Caudate,neun,40,24,1044
C010.7.2b_Cd,CAP-Mac,C010,Caudate,neun,41,21,1074
C010.7.3a_Cd,CAP-Mac,C010,Caudate,neun,57,29,987
C010.7.3b_Cd,CAP-Mac,C010,Caudate,neun,48,20,1004
C010.7.4a_Cd,CAP-Mac,C010,Caudate,neun,44,13,1097
C010.7.4b_Cd,CAP-Mac,C010,Caudate,neun,37,20,948
C010.1.2a_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,34,12,840
C010.1.2b_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,50,16,890
C010.1.2c_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,40,22,1020
C010.1.3a_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,46,23,712
C010.1.3b_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,34,13,761
C010.1.3c_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,21,12,1258
C010.1.4a_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,38,20,748
C010.1.4b_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,44,10,885
C010.1.4c_FL_Overlay,CAP-Mac,C010,Frontal lobe,neun,12,7,1133
C010.11.5a_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,21,7,1272
C010.11.5b_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,8,0,1132
C010.11.5c_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,59,18,1295
C010.11.6a_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,15,9,1441
C010.11.6b_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,29,15,1298
C010.11.6c_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,25,9,863
C010.11.7a_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,22,6,1414
C010.11.7b_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,42,25,1270
C010.11.7c_PL_Overlay,CAP-Mac,C010,Parietal lobe,neun,37,20,1052
