variant,animal id,tissue,region,moi,vg/ug dna
AAV9,C002,Brain,Caudate,0.674905279,112439.2194
AAV9,C016,Brain,Caudate,0.299637472,49919.60288
AAV9,C016,Brain,Cerebellum,0.085912982,14313.10278
AAV9,C002,Brain,Cerebellum,0.065584604,10926.39497
AAV9,C002,Brain,Frontal lobe,0.9157632,152566.1492
AAV9,C016,Brain,Frontal lobe,0.196084287,32667.64227
AAV9,C002,Brain,Hippocampus,0.466082794,77649.3935
AAV9,C016,Brain,Hippocampus,0.186540445,31077.63812
AAV9,C002,Brain,Hypothalamus,0.345868966,57621.76976
AAV9,C016,Brain,Hypothalamus,0.100974334,16822.32413
AAV9,C016,Brain,Occipital lobe,0.37516931,62503.20703
AAV9,C002,Brain,Occipital lobe,0.081724703,13615.33547
AAV9,C002,Brain,Parietal lobe,0.654716894,109075.8345
AAV9,C016,Brain,Parietal lobe,0.164982832,27486.13984
AAV9,C002,Brain,Putamen,0.350090773,58325.12276
AAV9,C016,Brain,Putamen,0.299188501,49844.80421
AAV9,C002,Brain,Temporal lobe,0.329100665,54828.17081
AAV9,C016,Brain,Temporal lobe,0.250212373,41685.38128
AAV9,C016,Brain,Thalamus,0.406452215,67714.93896
AAV9,C002,Brain,Thalamus,0.264733858,44104.66066
AAV9,C016,Brain,Medulla,0.336513876,56063.21172
AAV9,C002,Brain,Medulla,0.29982935,49951.56979
CAP-Mac,C010,Brain,Caudate,1.971275286,328414.4626
CAP-Mac,C017,Brain,Caudate,1.622859637,270368.4156
CAP-Mac,C010,Brain,Cerebellum,0.151718152,25276.24414
CAP-Mac,C017,Brain,Cerebellum,0.098191541,16358.71074
CAP-Mac,C017,Brain,Frontal lobe,3.039118185,506317.0896
CAP-Mac,C010,Brain,Frontal lobe,2.089864261,348171.386
CAP-Mac,C017,Brain,Hippocampus,1.026700339,171048.2765
CAP-Mac,C010,Brain,Hippocampus,0.606422774,101030.0342
CAP-Mac,C017,Brain,Hypothalamus,1.455126215,242424.0273
CAP-Mac,C010,Brain,Hypothalamus,0.946633305,157709.1086
CAP-Mac,C017,Brain,Occipital lobe,0.81733366,136167.7877
CAP-Mac,C010,Brain,Occipital lobe,0.409838822,68279.1477
CAP-Mac,C017,Brain,Parietal lobe,1.208881196,201399.6072
CAP-Mac,C010,Brain,Parietal lobe,0.763784701,127246.5312
CAP-Mac,C010,Brain,Putamen,1.792937741,298703.4277
CAP-Mac,C017,Brain,Putamen,1.722249695,286926.7992
CAP-Mac,C017,Brain,Temporal lobe,1.221023842,203422.572
CAP-Mac,C010,Brain,Temporal lobe,0.779058878,129791.2091
CAP-Mac,C017,Brain,Thalamus,0.829127128,138132.5796
CAP-Mac,C010,Brain,Thalamus,0.747183649,124480.7959
CAP-Mac,C010,Brain,Medulla,1.953191696,325401.7366
CAP-Mac,C017,Brain,Medulla,0.384541298,64064.58026
