MOI,variant,replicate,transduction efficiency
1000000,aav9,1,95.17
100000,aav9,1,73.1
3333,aav9,1,2.93
1111,aav9,1,0.73
370,aav9,1,0.16
123,aav9,1,0.25
62,aav9,1,0.4
31,aav9,1,0.43
10,aav9,1,0.17
0,aav9,1,0.18
1000000,aav9,2,95.92
100000,aav9,2,72.8
10000,aav9,2,8.76
3333,aav9,2,2.06
1111,aav9,2,1.09
370,aav9,2,0.5
123,aav9,2,0.11
62,aav9,2,0.1
31,aav9,2,1.61
10,aav9,2,0.0
0,aav9,2,0.4
1000000,aav9,3,94.33
100000,aav9,3,72.67
10000,aav9,3,14.63
3333,aav9,3,2.31
1111,aav9,3,0.6
370,aav9,3,0.43
123,aav9,3,0.17
62,aav9,3,0.0
31,aav9,3,0.07
0,aav9,3,0.23
1000000,cap-mac,1,99.48
100000,cap-mac,1,97.17
10000,cap-mac,1,90.96
3333,cap-mac,1,84.99
1111,cap-mac,1,47.35
370,cap-mac,1,19.38
123,cap-mac,1,5.2
62,cap-mac,1,2.7
31,cap-mac,1,1.33
10,cap-mac,1,0.49
0,cap-mac,1,0.62
1000000,cap-mac,2,99.01
100000,cap-mac,2,97.81
10000,cap-mac,2,90.16
3333,cap-mac,2,84.74
1111,cap-mac,2,62.87
370,cap-mac,2,23.23
123,cap-mac,2,3.95
62,cap-mac,2,2.86
31,cap-mac,2,0.8
10,cap-mac,2,0.26
0,cap-mac,2,0.39
1000000,cap-mac,3,98.73
100000,cap-mac,3,96.3
10000,cap-mac,3,89.05
3333,cap-mac,3,78.65
1111,cap-mac,3,54.66
370,cap-mac,3,14.91
123,cap-mac,3,4.0
62,cap-mac,3,1.95
31,cap-mac,3,0.68
10,cap-mac,3,0.47
0,cap-mac,3,0.04
