variant,animal id,age,tissue id,xna,route,tissue,count
AAV9,RMN-001,adult,RMN-001_b,DNA,iv,brain,28157
AAV9,RMN-001,adult,RMN-001_dcortex,DNA,iv,brain,18504
AAV9,RMN-001,adult,RMN-001_dcaudate,DNA,iv,brain,16720
AAV9,RMN-001,adult,RMN-001_dtemporal,DNA,iv,brain,15017
AAV9,RMN-001,adult,RMN-001_dputamen,DNA,iv,brain,13474
AAV9,RMN-001,adult,RMN-001_m,DNA,iv,brain,6280
AAV9,RMN-002,adult,RMN-002_b,DNA,iv,brain,28861
AAV9,RMN-002,adult,RMN-002_dcortex,DNA,iv,brain,19689
AAV9,RMN-002,adult,RMN-002_dcaudate,DNA,iv,brain,178619
AAV9,RMN-002,adult,RMN-002_dtemporal,DNA,iv,brain,103345
AAV9,RMN-002,adult,RMN-002_dputamen,DNA,iv,brain,56909
AAV9,RMN-002,adult,RMN-002_m,DNA,iv,brain,27468
AAV9,virus,adult,virus,DNA,iv,virus,950979
AAV-PHP.eB,RMN-001,adult,RMN-001_b,DNA,iv,brain,863
AAV-PHP.eB,RMN-001,adult,RMN-001_dcortex,DNA,iv,brain,14707
AAV-PHP.eB,RMN-001,adult,RMN-001_dcaudate,DNA,iv,brain,10975
AAV-PHP.eB,RMN-001,adult,RMN-001_dtemporal,DNA,iv,brain,11760
AAV-PHP.eB,RMN-001,adult,RMN-001_dputamen,DNA,iv,brain,10228
AAV-PHP.eB,RMN-001,adult,RMN-001_m,DNA,iv,brain,352
AAV-PHP.eB,RMN-002,adult,RMN-002_b,DNA,iv,brain,17877
AAV-PHP.eB,RMN-002,adult,RMN-002_dcortex,DNA,iv,brain,5825
AAV-PHP.eB,RMN-002,adult,RMN-002_dcaudate,DNA,iv,brain,6581
AAV-PHP.eB,RMN-002,adult,RMN-002_dtemporal,DNA,iv,brain,11523
AAV-PHP.eB,RMN-002,adult,RMN-002_dputamen,DNA,iv,brain,6489
AAV-PHP.eB,RMN-002,adult,RMN-002_m,DNA,iv,brain,24245
AAV-PHP.eB,virus,adult,virus,DNA,iv,virus,964864
AAV.CAP-B2,RMN-001,adult,RMN-001_b,DNA,iv,brain,8989
AAV.CAP-B2,RMN-001,adult,RMN-001_dcortex,DNA,iv,brain,17411
AAV.CAP-B2,RMN-001,adult,RMN-001_dcaudate,DNA,iv,brain,14322
AAV.CAP-B2,RMN-001,adult,RMN-001_dtemporal,DNA,iv,brain,16498
AAV.CAP-B2,RMN-001,adult,RMN-001_dputamen,DNA,iv,brain,13550
AAV.CAP-B2,RMN-001,adult,RMN-001_m,DNA,iv,brain,2366
AAV.CAP-B2,RMN-002,adult,RMN-002_b,DNA,iv,brain,34810
AAV.CAP-B2,RMN-002,adult,RMN-002_dcortex,DNA,iv,brain,12902
AAV.CAP-B2,RMN-002,adult,RMN-002_dcaudate,DNA,iv,brain,123906
AAV.CAP-B2,RMN-002,adult,RMN-002_dtemporal,DNA,iv,brain,83983
AAV.CAP-B2,RMN-002,adult,RMN-002_dputamen,DNA,iv,brain,35796
AAV.CAP-B2,RMN-002,adult,RMN-002_m,DNA,iv,brain,34897
AAV.CAP-B2,virus,adult,virus,DNA,iv,virus,989908
AAV.CAP-B10,RMN-001,adult,RMN-001_b,DNA,iv,brain,1362
AAV.CAP-B10,RMN-001,adult,RMN-001_dcortex,DNA,iv,brain,7762
AAV.CAP-B10,RMN-001,adult,RMN-001_dcaudate,DNA,iv,brain,3584
AAV.CAP-B10,RMN-001,adult,RMN-001_dtemporal,DNA,iv,brain,5425
AAV.CAP-B10,RMN-001,adult,RMN-001_dputamen,DNA,iv,brain,3975
AAV.CAP-B10,RMN-001,adult,RMN-001_m,DNA,iv,brain,400
AAV.CAP-B10,RMN-002,adult,RMN-002_b,DNA,iv,brain,7336
AAV.CAP-B10,RMN-002,adult,RMN-002_dcortex,DNA,iv,brain,2310
AAV.CAP-B10,RMN-002,adult,RMN-002_dcaudate,DNA,iv,brain,4120
AAV.CAP-B10,RMN-002,adult,RMN-002_dtemporal,DNA,iv,brain,4157
AAV.CAP-B10,RMN-002,adult,RMN-002_dputamen,DNA,iv,brain,2185
AAV.CAP-B10,RMN-002,adult,RMN-002_m,DNA,iv,brain,10003
AAV.CAP-B10,virus,adult,virus,DNA,iv,virus,1059269
AAV.CAP-B22,RMN-001,adult,RMN-001_b,DNA,iv,brain,681
AAV.CAP-B22,RMN-001,adult,RMN-001_dcortex,DNA,iv,brain,10513
AAV.CAP-B22,RMN-001,adult,RMN-001_dcaudate,DNA,iv,brain,6576
AAV.CAP-B22,RMN-001,adult,RMN-001_dtemporal,DNA,iv,brain,7906
AAV.CAP-B22,RMN-001,adult,RMN-001_dputamen,DNA,iv,brain,7155
AAV.CAP-B22,RMN-001,adult,RMN-001_m,DNA,iv,brain,352
